Date,Close
12/31/1929,104.6
12/31/1930,92.2
12/31/1931,77.4
12/31/1932,59.5
12/31/1933,57.2
12/31/1934,66.8
12/31/1935,74.2
12/31/1936,84.8
12/31/1937,93.0
12/31/1938,87.4
12/31/1939,93.4
12/31/1940,102.9
12/31/1941,129.3
12/31/1942,166.0
12/31/1943,203.1
12/31/1944,224.4
12/31/1945,228.0
12/31/1946,227.5
12/31/1947,249.6
12/31/1948,274.5
12/31/1949,272.5
12/31/1950,299.8
12/31/1951,346.9
12/31/1952,367.3
12/31/1953,389.2
12/31/1954,390.5
12/31/1955,425.5
12/31/1956,449.4
12/31/1957,474.0
12/31/1958,481.2
12/31/1959,521.7
12/31/1960,542.4
12/31/1961,562.2
12/31/1962,603.9
12/31/1963,637.5
12/31/1964,684.5
12/31/1965,742.3
12/31/1966,813.4
12/31/1967,860.0
12/31/1968,940.7
12/31/1969,1017.6
12/31/1970,1073.3
12/31/1971,1164.9
12/31/1972,1279.1
12/31/1973,1425.4
12/31/1974,1545.2
12/31/1975,1684.9
12/31/1976,1873.4
12/31/1977,2081.8
12/31/1978,2351.6
12/31/1979,2627.3
12/31/1980,2857.3
12/31/1981,3207.0
12/31/1982,3343.8
12/31/1983,3634.0
12/31/1984,4037.6
12/31/1985,4339.0
12/31/1986,4579.6
12/31/1987,4855.2
12/31/1988,5236.4
12/31/1989,5641.6
12/31/1990,5963.1
12/31/1991,6158.1
12/31/1992,6520.3
12/31/1993,6858.6
12/31/1994,7287.2
12/31/1995,7639.7
12/31/1996,8073.1
12/31/1997,8577.6
12/31/1998,9062.8
12/31/1999,9631.2
12/31/2000,10251.0
12/31/2001,10581.9
12/31/2002,10929.1
12/31/2003,11456.5
12/31/2004,12217.2
12/31/2005,13039.2
12/31/2006,13815.6
12/31/2007,14474.2
12/31/2008,14769.9
12/31/2009,14478.1
12/31/2010,15049.0
12/31/2011,15599.7
12/31/2012,16254.0
12/31/2013,16880.7
12/31/2014,17608.1
12/31/2015,18295.0
12/31/2016,18804.9
12/31/2017,19612.1
12/31/2018,20656.5
12/31/2019,21540.0
12/31/2020,21354.1
12/31/2021,23681.2
12/31/2022,26006.9
12/31/2023,27720.7
12/31/2024,29179.1
